LifeStyle,ID
Bad,0
Bad,1
Average,2
Bad,3
Bad,4
Bad,5
Good,6
Bad,7
Good,8
Bad,9
Bad,10
Bad,11
Average,12
Bad,13
Bad,14
Good,15
Average,16
Bad,17
Average,18
Bad,19
Bad,20
Average,21
Bad,22
Bad,23
Average,24
Average,25
Average,26
Bad,27
Bad,28
Bad,29
Good,30
Bad,31
Good,32
Great,33
Good,34
Bad,35
Bad,36
Bad,37
Average,38
Bad,39
Great,40
Bad,41
Average,42
Bad,43
Bad,44
Bad,45
Good,46
Bad,47
Bad,48
Average,49
Bad,50
Average,51
Bad,52
Bad,53
Average,54
Bad,55
Bad,56
Bad,57
Bad,58
Average,59
Bad,60
Great,61
Average,62
Average,63
Average,64
Bad,65
Good,66
Average,67
Bad,68
Good,69
Bad,70
Average,71
Bad,72
Good,73
Bad,74
Bad,75
Average,76
Average,77
Bad,78
Bad,79
Great,80
Bad,81
Bad,82
Bad,83
Bad,84
Good,85
Bad,86
Bad,87
Bad,88
Bad,89
Good,90
Bad,91
Average,92
Bad,93
Bad,94
Average,95
Bad,96
Bad,97
Bad,98
Good,99
Bad,100
Average,101
Bad,102
Bad,103
Bad,104
Bad,105
Bad,106
Bad,107
Bad,108
Good,109
Average,110
Bad,111
Bad,112
Bad,113
Bad,114
Bad,115
Bad,116
Good,117
Great,118
Bad,119
Bad,120
Good,121
Average,122
Bad,123
Bad,124
Bad,125
Bad,126
Good,127
Bad,128
Average,129
Great,130
Great,131
Bad,132
Bad,133
Bad,134
Average,135
Bad,136
Bad,137
Bad,138
Bad,139
Good,140
Bad,141
Bad,142
Great,143
Bad,144
Bad,145
Bad,146
Average,147
Bad,148
Average,149
Good,150
Bad,151
Bad,152
Average,153
Average,154
Bad,155
Good,156
Bad,157
Bad,158
Good,159
Bad,160
Good,161
Average,162
Great,163
Bad,164
Bad,165
Bad,166
Bad,167
Bad,168
Great,169
Bad,170
Average,171
Bad,172
Bad,173
Bad,174
Average,175
Good,176
Bad,177
Average,178
Average,179
Bad,180
Average,181
Average,182
Average,183
Bad,184
Average,185
Bad,186
Bad,187
Average,188
Great,189
Bad,190
Bad,191
Average,192
Average,193
Good,194
Great,195
Bad,196
Average,197
Bad,198
Average,199
Average,200
Average,201
Bad,202
Bad,203
Good,204
Bad,205
Bad,206
Bad,207
Average,208
Average,209
Bad,210
Good,211
Bad,212
Average,213
Average,214
Bad,215
Average,216
Bad,217
Bad,218
Bad,219
Average,220
Average,221
Great,222
Bad,223
Average,224
Bad,225
Bad,226
Bad,227
Bad,228
