,LifeStyle
0,Bad
1,Bad
2,Average
3,Bad
4,Bad
5,Bad
6,Average
7,Bad
8,Average
9,Bad
10,Bad
11,Bad
12,Bad
13,Bad
14,Bad
15,Average
16,Bad
17,Bad
18,Bad
19,Bad
20,Bad
21,Bad
22,Bad
23,Bad
24,Average
25,Bad
26,Bad
27,Bad
28,Bad
29,Bad
30,Average
31,Bad
32,Good
33,Great
34,Good
35,Bad
36,Bad
37,Bad
38,Bad
39,Bad
40,Great
41,Bad
42,Bad
43,Bad
44,Bad
45,Bad
46,Good
47,Bad
48,Bad
49,Bad
50,Bad
51,Average
52,Bad
53,Bad
54,Bad
55,Bad
56,Bad
57,Bad
58,Bad
59,Bad
60,Bad
61,Great
62,Average
63,Bad
64,Average
65,Bad
66,Average
67,Average
68,Bad
69,Good
70,Bad
71,Average
72,Bad
73,Good
74,Bad
75,Bad
76,Average
77,Bad
78,Bad
79,Bad
80,Great
81,Bad
82,Bad
83,Bad
84,Bad
85,Good
86,Bad
87,Bad
88,Bad
89,Bad
90,Average
91,Bad
92,Bad
93,Bad
94,Bad
95,Bad
96,Bad
97,Bad
98,Bad
99,Good
100,Bad
101,Bad
102,Bad
103,Bad
104,Bad
105,Bad
106,Bad
107,Bad
108,Bad
109,Average
110,Bad
111,Bad
112,Bad
113,Bad
114,Bad
115,Bad
116,Bad
117,Good
118,Great
119,Bad
120,Bad
121,Good
122,Average
123,Bad
124,Bad
125,Bad
126,Bad
127,Average
128,Bad
129,Bad
130,Good
131,Great
132,Bad
133,Bad
134,Bad
135,Average
136,Bad
137,Bad
138,Bad
139,Bad
140,Average
141,Bad
142,Bad
143,Great
144,Bad
145,Bad
146,Bad
147,Average
148,Bad
149,Average
150,Good
151,Bad
152,Bad
153,Average
154,Average
155,Bad
156,Good
157,Bad
158,Bad
159,Good
160,Bad
161,Average
162,Bad
163,Great
164,Bad
165,Bad
166,Bad
167,Bad
168,Bad
169,Great
170,Bad
171,Average
172,Bad
173,Bad
174,Bad
175,Bad
176,Good
177,Bad
178,Average
179,Bad
180,Bad
181,Average
182,Average
183,Average
184,Bad
185,Average
186,Bad
187,Bad
188,Average
189,Great
190,Bad
191,Bad
192,Average
193,Bad
194,Good
195,Great
196,Bad
197,Average
198,Bad
199,Bad
200,Average
201,Average
202,Bad
203,Bad
204,Good
205,Bad
206,Bad
207,Bad
208,Bad
209,Bad
210,Bad
211,Bad
212,Bad
213,Bad
214,Average
215,Bad
216,Bad
217,Bad
218,Bad
219,Bad
220,Bad
221,Average
222,Great
223,Bad
224,Bad
225,Bad
226,Bad
227,Bad
228,Bad
229,Bad
230,Bad
231,Bad
232,Average
233,Bad
234,Bad
235,Average
236,Bad
237,Bad
238,Bad
239,Bad
240,Average
241,Bad
242,Average
243,Average
244,Average
245,Good
246,Bad
247,Bad
248,Average
249,Bad
250,Average
251,Bad
252,Bad
253,Bad
254,Bad
255,Bad
256,Good
257,Average
258,Bad
259,Great
260,Bad
261,Average
262,Bad
263,Average
264,Good
265,Bad
266,Great
267,Average
268,Bad
269,Bad
270,Bad
271,Bad
272,Bad
273,Bad
274,Average
275,Average
276,Bad
277,Great
278,Bad
279,Bad
280,Good
281,Bad
282,Bad
283,Bad
284,Good
285,Average
286,Bad
287,Average
288,Bad
289,Bad
290,Bad
291,Bad
292,Bad
293,Bad
294,Bad
295,Bad
296,Bad
297,Bad
298,Bad
299,Bad
300,Bad
301,Bad
302,Average
303,Bad
304,Bad
305,Bad
306,Average
307,Average
308,Bad
309,Bad
310,Bad
311,Bad
312,Bad
313,Bad
314,Bad
315,Great
316,Bad
317,Good
318,Bad
319,Bad
320,Average
321,Bad
322,Bad
323,Average
324,Bad
325,Bad
326,Bad
327,Average
328,Bad
329,Average
330,Bad
331,Bad
332,Bad
333,Bad
334,Bad
335,Bad
336,Bad
337,Great
338,Bad
339,Bad
340,Average
341,Good
342,Average
343,Bad
344,Bad
345,Average
346,Average
347,Bad
348,Bad
349,Bad
350,Bad
351,Bad
352,Bad
353,Bad
354,Bad
355,Bad
356,Bad
357,Average
358,Bad
359,Bad
360,Average
361,Average
362,Good
363,Bad
364,Great
365,Average
366,Bad
367,Average
368,Bad
369,Bad
370,Bad
371,Average
372,Bad
373,Bad
374,Great
375,Bad
376,Bad
377,Bad
378,Bad
379,Good
380,Bad
381,Average
382,Bad
383,Bad
384,Bad
385,Bad
386,Bad
387,Bad
388,Bad
389,Bad
390,Average
391,Bad
392,Bad
393,Bad
394,Bad
395,Bad
396,Bad
397,Bad
398,Bad
399,Bad
400,Bad
401,Bad
402,Bad
403,Bad
404,Bad
405,Bad
406,Bad
407,Good
408,Bad
409,Average
410,Bad
411,Average
412,Bad
413,Bad
414,Good
415,Average
416,Bad
417,Average
418,Bad
419,Bad
420,Bad
421,Bad
422,Great
423,Bad
424,Good
425,Bad
426,Great
427,Bad
428,Bad
429,Good
430,Good
431,Bad
432,Bad
433,Average
434,Average
435,Average
436,Average
437,Bad
438,Bad
439,Bad
440,Bad
441,Bad
442,Good
443,Bad
444,Bad
445,Good
446,Bad
447,Bad
448,Bad
449,Bad
450,Bad
451,Good
452,Average
453,Great
454,Average
455,Good
456,Bad
457,Bad
458,Good
459,Average
460,Bad
461,Bad
462,Bad
463,Bad
464,Bad
465,Bad
466,Bad
467,Bad
468,Bad
469,Bad
470,Good
471,Bad
472,Bad
473,Average
474,Bad
475,Bad
476,Bad
477,Great
478,Bad
479,Average
480,Bad
481,Bad
482,Bad
483,Bad
484,Bad
485,Bad
486,Bad
487,Bad
488,Bad
489,Average
490,Good
491,Bad
492,Bad
493,Good
494,Average
495,Bad
496,Average
497,Bad
498,Bad
499,Bad
500,Bad
501,Bad
502,Average
503,Bad
504,Bad
505,Bad
506,Great
507,Bad
508,Average
509,Average
510,Bad
511,Bad
512,Average
513,Bad
514,Bad
515,Bad
516,Average
517,Average
518,Good
519,Bad
520,Good
521,Bad
522,Bad
523,Bad
524,Good
525,Average
526,Bad
527,Bad
528,Bad
529,Bad
530,Bad
531,Bad
532,Bad
533,Bad
534,Bad
535,Bad
536,Bad
537,Bad
538,Bad
539,Bad
540,Average
541,Bad
542,Bad
543,Average
544,Bad
545,Bad
546,Bad
547,Average
548,Bad
549,Bad
550,Good
551,Good
552,Bad
553,Average
554,Good
555,Bad
556,Bad
557,Bad
558,Bad
559,Bad
560,Bad
561,Average
562,Good
563,Bad
564,Bad
565,Bad
566,Bad
567,Bad
568,Average
569,Bad
570,Great
571,Bad
572,Bad
573,Bad
574,Bad
575,Bad
576,Bad
577,Bad
578,Bad
579,Bad
580,Great
581,Good
582,Average
583,Bad
584,Good
585,Bad
586,Good
587,Bad
588,Bad
589,Average
590,Bad
591,Average
592,Bad
593,Bad
594,Bad
595,Average
596,Bad
597,Good
598,Bad
599,Bad
600,Bad
601,Bad
602,Bad
603,Good
604,Bad
605,Bad
606,Bad
607,Average
608,Bad
609,Bad
610,Bad
611,Bad
612,Average
613,Good
614,Great
615,Bad
616,Great
617,Average
618,Bad
619,Good
620,Average
621,Great
622,Average
623,Bad
624,Bad
625,Bad
626,Bad
627,Bad
628,Great
629,Average
630,Good
631,Bad
632,Bad
633,Bad
634,Great
635,Bad
636,Average
637,Bad
638,Average
639,Bad
640,Average
641,Bad
642,Bad
643,Bad
644,Bad
645,Average
646,Average
647,Bad
648,Bad
649,Bad
650,Bad
651,Average
652,Bad
653,Bad
654,Bad
655,Bad
656,Bad
657,Bad
658,Average
659,Bad
660,Average
661,Bad
662,Good
663,Bad
664,Bad
665,Average
666,Bad
667,Bad
668,Average
669,Bad
670,Average
671,Bad
672,Bad
673,Bad
674,Bad
675,Bad
676,Bad
677,Bad
678,Great
679,Bad
680,Bad
681,Average
682,Bad
683,Bad
684,Bad
685,Good
686,Bad
687,Bad
688,Average
689,Bad
690,Bad
691,Bad
692,Bad
693,Bad
694,Bad
695,Average
696,Bad
697,Bad
698,Good
699,Bad
700,Bad
701,Bad
702,Bad
703,Bad
704,Average
705,Bad
706,Average
707,Bad
708,Bad
709,Average
710,Average
711,Average
712,Average
713,Bad
714,Bad
715,Average
716,Average
717,Bad
718,Bad
719,Bad
720,Bad
721,Bad
722,Average
723,Great
724,Bad
725,Bad
726,Bad
727,Bad
728,Bad
729,Bad
730,Bad
731,Average
732,Average
733,Bad
734,Bad
735,Bad
736,Bad
737,Average
738,Bad
739,Great
740,Bad
741,Bad
742,Average
743,Good
744,Bad
745,Bad
746,Good
747,Bad
748,Bad
749,Bad
750,Bad
751,Average
752,Bad
753,Bad
754,Good
755,Bad
756,Bad
757,Average
758,Bad
759,Bad
760,Average
761,Bad
762,Good
763,Good
764,Average
765,Bad
766,Average
767,Bad
768,Bad
769,Bad
770,Bad
771,Bad
772,Average
773,Bad
774,Bad
775,Average
776,Average
777,Bad
778,Bad
779,Good
780,Bad
781,Bad
782,Bad
783,Average
784,Bad
785,Bad
786,Great
787,Bad
788,Bad
789,Bad
790,Bad
791,Bad
792,Average
793,Bad
794,Bad
795,Bad
796,Bad
797,Average
798,Bad
799,Bad
800,Bad
801,Great
802,Bad
803,Bad
804,Bad
805,Great
806,Average
807,Bad
808,Bad
809,Bad
810,Bad
811,Bad
812,Good
813,Bad
814,Bad
815,Bad
816,Bad
817,Average
818,Bad
819,Bad
820,Bad
821,Average
822,Bad
823,Bad
824,Bad
825,Good
826,Bad
827,Average
828,Bad
829,Bad
830,Great
831,Good
832,Bad
833,Average
834,Bad
835,Good
836,Average
837,Bad
838,Average
839,Average
840,Average
841,Bad
842,Average
843,Bad
844,Bad
845,Bad
846,Bad
847,Good
848,Bad
849,Average
850,Bad
851,Bad
852,Bad
853,Bad
854,Bad
855,Bad
856,Bad
857,Bad
858,Bad
859,Bad
860,Bad
861,Bad
862,Average
863,Bad
864,Bad
865,Bad
866,Bad
867,Average
868,Bad
869,Good
870,Bad
871,Bad
872,Good
873,Bad
874,Great
875,Bad
876,Bad
877,Bad
878,Bad
879,Bad
880,Bad
881,Bad
882,Average
883,Bad
884,Bad
885,Bad
886,Bad
887,Bad
888,Average
889,Bad
890,Bad
891,Bad
892,Bad
893,Great
894,Good
895,Bad
896,Great
897,Bad
898,Bad
899,Good
900,Average
901,Good
902,Bad
903,Average
904,Bad
905,Bad
906,Bad
907,Bad
908,Average
909,Bad
910,Bad
911,Average
912,Average
913,Bad
914,Bad
915,Bad
916,Average
917,Average
918,Average
919,Bad
920,Bad
921,Average
922,Bad
923,Bad
924,Bad
925,Bad
926,Average
927,Bad
928,Bad
929,Bad
930,Bad
931,Bad
932,Good
933,Good
934,Average
935,Bad
936,Bad
937,Average
938,Good
939,Average
940,Bad
941,Bad
942,Bad
943,Good
944,Bad
945,Bad
946,Bad
947,Good
948,Bad
949,Good
950,Bad
951,Average
952,Bad
953,Average
954,Bad
955,Bad
956,Bad
957,Bad
958,Good
959,Bad
960,Bad
961,Bad
962,Great
963,Bad
964,Bad
965,Bad
966,Bad
967,Bad
968,Bad
969,Bad
970,Average
971,Bad
972,Good
973,Bad
974,Bad
975,Bad
976,Bad
977,Bad
978,Bad
979,Bad
980,Good
981,Bad
982,Bad
983,Bad
984,Bad
985,Bad
986,Bad
987,Bad
988,Bad
989,Good
990,Bad
991,Bad
992,Bad
993,Bad
994,Average
995,Bad
996,Bad
997,Great
998,Bad
999,Bad
1000,Good
1001,Average
1002,Bad
1003,Good
1004,Bad
1005,Bad
1006,Good
1007,Bad
1008,Average
1009,Good
1010,Good
1011,Average
1012,Bad
1013,Bad
1014,Bad
1015,Bad
1016,Bad
1017,Bad
1018,Bad
1019,Bad
1020,Bad
1021,Bad
1022,Bad
1023,Great
1024,Bad
1025,Bad
1026,Good
1027,Average
1028,Bad
1029,Bad
1030,Average
1031,Bad
1032,Bad
1033,Bad
1034,Bad
1035,Bad
1036,Good
1037,Great
1038,Bad
1039,Great
1040,Bad
1041,Great
1042,Good
1043,Bad
1044,Bad
1045,Bad
1046,Average
1047,Bad
1048,Bad
1049,Bad
1050,Bad
1051,Average
1052,Bad
1053,Good
1054,Bad
1055,Bad
1056,Bad
1057,Bad
1058,Average
1059,Bad
1060,Good
1061,Bad
1062,Bad
1063,Average
1064,Bad
1065,Bad
1066,Good
1067,Average
1068,Bad
1069,Average
1070,Good
1071,Great
1072,Average
1073,Bad
1074,Bad
1075,Good
1076,Average
1077,Average
1078,Bad
1079,Bad
1080,Average
1081,Good
1082,Great
1083,Average
1084,Bad
1085,Bad
1086,Average
1087,Bad
1088,Average
1089,Good
1090,Bad
1091,Bad
1092,Bad
1093,Good
1094,Bad
1095,Average
1096,Bad
1097,Bad
1098,Good
1099,Bad
1100,Bad
1101,Bad
1102,Bad
1103,Great
1104,Average
1105,Bad
1106,Bad
1107,Good
1108,Good
1109,Bad
1110,Bad
1111,Bad
1112,Bad
1113,Average
