ID,LifeStyle
1,Bad
2,Bad
3,Bad
4,Bad
5,Bad
6,Bad
7,Bad
8,Bad
9,Bad
10,Bad
11,Bad
12,Bad
13,Bad
14,Bad
15,Bad
16,Bad
17,Bad
18,Bad
19,Bad
20,Bad
21,Bad
22,Bad
23,Bad
24,Bad
25,Bad
26,Bad
27,Bad
28,Bad
29,Bad
30,Bad
31,Bad
32,Bad
33,Bad
34,Bad
35,Bad
36,Bad
37,Bad
38,Bad
39,Bad
40,Bad
41,Bad
42,Bad
43,Bad
44,Bad
45,Bad
46,Bad
47,Bad
48,Bad
49,Bad
50,Bad
51,Bad
52,Bad
53,Bad
54,Bad
55,Bad
56,Bad
57,Bad
58,Bad
59,Bad
60,Bad
61,Bad
62,Bad
63,Bad
64,Bad
65,Bad
66,Bad
67,Bad
68,Bad
69,Bad
70,Bad
71,Bad
72,Bad
73,Bad
74,Bad
75,Bad
76,Bad
77,Bad
78,Bad
79,Bad
80,Bad
81,Bad
82,Bad
83,Bad
84,Bad
85,Bad
86,Bad
87,Bad
88,Bad
89,Bad
90,Bad
91,Bad
92,Bad
93,Bad
94,Bad
95,Bad
96,Bad
97,Bad
98,Bad
99,Bad
100,Bad
101,Bad
102,Bad
103,Bad
104,Bad
105,Bad
106,Bad
107,Bad
108,Bad
109,Bad
110,Bad
111,Bad
112,Bad
113,Bad
114,Bad
115,Bad
116,Bad
117,Bad
118,Bad
119,Bad
120,Bad
121,Bad
122,Bad
123,Bad
124,Bad
125,Bad
126,Bad
127,Bad
128,Bad
129,Bad
130,Bad
131,Bad
132,Bad
133,Bad
134,Bad
135,Bad
136,Bad
137,Bad
138,Bad
139,Bad
140,Bad
141,Bad
142,Bad
143,Bad
144,Bad
145,Bad
146,Bad
147,Bad
148,Bad
149,Bad
150,Bad
151,Bad
152,Bad
153,Bad
154,Bad
155,Bad
156,Bad
157,Bad
158,Bad
159,Bad
160,Bad
161,Bad
162,Bad
163,Bad
164,Bad
165,Bad
166,Bad
167,Bad
168,Bad
169,Bad
170,Bad
171,Bad
172,Bad
173,Bad
174,Bad
175,Bad
176,Bad
177,Bad
178,Bad
179,Bad
180,Bad
181,Bad
182,Bad
183,Bad
184,Bad
185,Bad
186,Bad
187,Bad
188,Bad
189,Bad
190,Bad
191,Bad
192,Bad
193,Bad
194,Bad
